hour,day,current_count,event,previous_count,crowd
12,5,113,1,256,476
17,4,58,1,124,205
14,3,100,0,278,314
17,5,206,0,65,300
16,5,103,0,235,245
14,1,107,0,43,281
16,6,261,0,54,377
15,0,112,0,43,166
9,4,105,0,47,138
8,3,63,1,35,166
14,5,156,1,78,393
14,3,93,1,262,388
15,1,55,1,226,261
12,4,120,0,290,360
10,5,175,0,268,337
15,3,274,0,286,457
13,0,190,1,212,471
10,6,235,0,237,342
8,1,189,1,134,336
10,4,271,0,87,351
12,1,74,0,94,229
10,0,110,0,122,168
8,4,297,0,197,449
12,1,120,1,234,407
17,2,174,1,58,317
14,0,160,0,278,406
14,0,192,1,223,534
16,0,29,0,26,26
17,2,247,0,68,368
17,2,284,0,45,347
10,3,267,0,180,366
14,5,266,1,195,573
8,6,174,0,98,313
11,1,53,0,21,90
11,3,148,1,151,330
12,1,179,0,295,449
14,6,108,1,136,349
14,5,112,0,183,314
11,2,260,0,47,331
14,5,136,0,20,307
10,2,113,0,207,216
13,6,182,0,75,341
9,5,118,0,54,140
17,3,132,1,131,294
16,4,110,0,55,160
12,3,225,1,236,520
13,1,36,1,99,272
11,3,293,0,102,397
17,6,192,1,84,364
14,0,135,0,147,345
16,1,200,1,41,338
14,5,110,0,235,305
8,1,101,1,126,235
8,4,133,1,128,326
16,2,276,0,200,415
16,5,77,1,183,281
11,1,173,0,87,252
16,5,135,0,199,257
10,5,285,0,200,441
14,5,222,0,188,417
13,2,60,0,41,195
15,6,124,1,85,238
16,3,212,1,40,345
12,5,297,1,119,597
8,0,256,0,122,335
10,6,240,1,66,406
17,4,87,1,58,178
15,2,216,1,109,406
13,1,275,1,104,538
15,2,158,1,292,366
16,1,168,0,207,256
11,2,118,0,178,201
8,1,95,1,262,261
8,5,128,0,92,179
17,3,207,0,68,298
11,1,218,1,120,386
14,1,173,1,21,372
9,0,59,0,263,181
10,1,152,1,195,343
8,0,151,0,257,323
12,4,298,0,78,505
8,5,103,1,118,257
15,0,261,0,21,340
8,3,135,0,262,264
8,6,128,0,230,244
9,5,240,1,142,458
9,0,60,1,248,218
13,5,166,1,101,439
14,5,131,1,163,400
12,5,122,0,159,304
8,4,65,1,48,166
8,3,290,1,289,547
10,2,214,1,266,442
9,2,299,1,31,443
12,0,59,0,125,207
17,5,208,0,51,232
13,0,183,0,93,342
14,4,43,1,190,297
11,4,43,1,88,170
14,1,23,0,156,229
15,4,200,1,119,355
8,1,267,1,165,446
13,3,135,0,28,259
15,0,298,0,81,393
12,6,88,1,204,379
11,3,273,1,48,441
9,4,200,1,133,390
13,3,188,0,162,410
13,3,268,0,139,472
8,3,207,0,189,365
16,4,73,0,176,151
13,6,157,1,279,482
10,5,187,0,101,291
11,3,122,0,261,262
11,1,104,1,191,236
10,4,231,1,250,457
17,3,22,1,227,214
10,6,198,0,94,248
10,5,57,1,289,279
11,4,258,1,133,451
14,2,188,0,81,382
11,5,49,0,121,93
16,1,209,1,229,442
8,3,44,0,274,166
15,6,131,1,39,288
14,2,225,1,77,537
9,6,204,0,131,328
15,2,66,1,215,255
8,4,247,0,111,387
16,2,58,0,71,110
16,1,35,0,27,35
9,1,41,1,117,175
14,0,232,0,255,496
17,1,168,0,88,253
10,5,260,1,64,395
14,2,291,1,156,570
17,1,78,1,253,268
16,4,221,1,51,376
11,6,51,0,145,132
8,6,181,0,86,254
9,0,274,0,49,332
8,6,273,1,133,496
12,2,28,1,223,281
12,0,158,0,48,335
14,2,29,1,150,290
16,4,233,1,204,467
16,0,292,0,272,450
10,3,67,0,81,110
10,5,130,1,22,246
10,5,172,1,87,312
11,2,142,1,44,273
15,6,121,0,198,256
13,3,260,0,160,450
15,0,210,0,250,339
8,3,236,0,182,341
15,3,70,0,149,142
11,6,100,1,265,303
8,0,107,1,191,300
15,4,213,1,83,369
11,6,123,0,50,174
13,3,290,0,66,482
15,3,115,0,149,203
11,4,217,1,129,406
10,3,20,0,88,57
16,3,186,0,77,287
10,3,145,1,125,355
16,5,100,0,275,244
9,6,270,1,190,485
9,1,188,0,181,310
9,6,92,0,90,124
13,4,160,1,274,485
10,3,89,1,74,202
16,6,281,1,22,436
11,5,264,1,45,400
8,4,22,1,145,158
11,2,82,1,72,170
8,6,68,0,217,145
12,2,95,0,207,304
11,3,194,1,205,377
15,5,128,0,223,264
15,5,202,1,30,315
14,6,211,0,165,428
10,4,84,1,104,207
8,4,290,0,119,403
8,5,119,0,123,161
10,4,51,0,65,78
13,5,147,0,63,285
14,6,62,0,297,311
13,1,97,1,200,386
13,5,289,1,206,585
13,2,181,1,133,446
10,4,208,0,274,344
13,5,266,1,49,538
15,5,235,0,283,421
9,6,187,0,117,242
12,4,212,0,134,425
8,1,32,1,295,220
8,6,259,0,294,423
12,1,166,1,280,492
10,6,223,1,226,474
11,4,99,0,230,191
10,0,62,0,234,185
8,4,108,1,59,210
8,4,167,1,45,274
12,1,114,1,46,336
13,1,170,1,209,468
10,4,21,1,102,89
16,4,41,1,189,228
12,4,26,0,186,163
15,1,225,1,207,430
8,4,133,1,188,341
12,4,291,1,248,673
10,3,102,1,116,242
8,0,198,0,35,223
11,2,229,0,298,420
12,0,143,1,154,431
14,3,132,1,45,347
8,2,31,1,31,117
10,6,145,0,91,196
9,4,72,0,152,140
16,3,159,0,125,247
17,6,116,0,239,223
13,4,24,0,196,198
17,1,76,0,152,165
10,5,88,1,41,172
15,3,137,0,288,272
15,1,78,0,180,132
9,3,52,1,126,195
13,3,69,0,298,263
14,1,38,1,254,345
9,2,233,0,37,268
17,0,216,1,261,408
9,4,66,1,136,206
17,3,186,1,163,403
8,4,160,1,224,376
15,5,103,1,58,188
8,1,201,0,173,284
16,4,98,0,195,188
13,1,234,1,260,610
14,4,33,1,153,262
17,0,234,1,65,368
14,0,147,0,69,335
17,0,267,1,185,478
10,0,48,1,125,209
9,0,299,1,235,518
16,0,221,1,165,409
15,1,76,0,91,154
17,3,237,1,292,478
14,4,81,1,266,406
16,0,176,0,205,301
11,1,221,1,89,360
11,1,36,1,169,190
8,1,25,0,265,156
15,3,77,0,281,218
10,4,188,0,45,243
14,3,101,1,159,327
9,2,238,1,118,377
9,6,196,0,297,322
14,1,223,0,70,385
13,2,90,0,170,268
10,5,285,1,123,442
16,0,117,1,108,284
17,6,227,0,160,311
13,0,21,1,232,271
17,3,143,0,252,274
17,6,299,1,202,539
13,4,93,1,270,441
8,2,185,1,28,325
11,4,41,1,98,200
17,3,173,0,71,212
13,0,238,1,288,624
13,6,176,1,245,452
12,4,249,0,70,417
8,4,39,1,205,220
15,0,60,0,53,61
12,6,167,0,249,381
12,2,127,1,150,371
14,0,103,1,139,353
11,4,153,0,266,318
13,2,226,0,211,456
11,2,285,0,229,424
10,0,92,1,122,182
14,4,67,0,152,251
15,3,252,0,158,381
11,4,119,0,140,165
9,1,78,1,113,217
17,6,277,0,148,395
10,5,84,1,110,244
8,3,102,1,111,232
15,2,173,0,82,223
10,3,285,1,48,432
17,6,98,0,229,235
14,2,169,1,31,416
17,6,67,1,149,220
12,2,267,0,192,518
17,3,297,0,227,400
12,2,117,0,43,273
14,2,44,1,118,258
16,1,87,1,158,283
12,4,26,0,193,187
8,4,156,0,48,189
17,5,183,1,162,376
17,5,102,1,61,240
8,1,157,1,227,350
9,5,92,0,211,202
13,6,256,1,179,569
16,3,65,0,83,119
15,0,125,1,262,327
12,6,281,1,277,638
8,0,195,0,171,331
14,0,185,0,234,391
12,1,164,0,185,354
13,6,73,1,50,288
14,1,197,1,251,496
10,2,263,1,48,379
17,0,146,0,214,283
10,3,290,1,275,493
12,5,151,0,106,316
13,3,112,0,168,317
16,5,92,0,268,223
12,0,267,1,217,579
8,0,292,1,63,434
11,0,62,0,47,100
12,1,60,1,36,247
17,6,189,0,146,291
17,5,231,0,187,355
12,6,187,1,263,513
14,1,58,0,95,195
11,1,264,0,250,458
8,4,170,1,223,380
12,3,130,0,267,357
14,3,66,0,233,278
17,2,82,0,234,177
17,1,244,0,177,356
13,5,88,0,88,289
12,4,222,0,104,393
11,4,80,0,286,209
9,6,180,1,88,322
11,3,35,1,118,148
17,1,113,0,235,238
17,2,157,0,180,261
10,1,57,1,113,212
17,6,146,1,193,349
8,0,294,1,184,524
15,1,183,1,134,335
12,6,96,1,239,404
11,0,193,0,50,265
15,0,110,1,30,204
14,2,257,1,149,542
9,5,283,1,124,440
8,3,198,0,46,269
11,1,228,0,246,385
15,0,92,0,21,147
9,1,126,0,120,195
10,5,201,0,40,266
8,3,56,0,77,118
8,5,156,1,199,332
10,3,75,0,39,87
12,4,206,0,274,442
10,3,277,1,57,428
8,2,77,0,167,142
8,5,142,1,44,254
15,0,207,1,140,402
17,4,249,0,45,315
9,2,187,1,188,386
10,1,133,1,244,326
9,5,271,1,20,401
10,6,126,1,280,349
14,6,56,0,32,183
8,0,111,1,67,256
17,3,37,0,113,116
15,0,82,1,280,277
17,6,169,1,297,419
17,1,158,1,224,338
17,4,205,0,204,369
9,4,204,0,194,307
10,5,224,0,88,318
16,4,279,1,123,442
14,5,233,1,265,563
11,5,275,1,180,513
17,5,154,1,219,336
12,6,80,0,235,334
9,6,107,1,231,301
15,3,226,0,35,305
11,2,148,1,224,355
16,5,22,0,58,59
12,5,261,0,108,428
16,2,140,1,275,349
11,0,121,1,273,358
17,5,57,0,235,156
12,3,152,1,191,442
16,4,221,1,156,377
15,4,40,0,197,116
10,1,261,0,96,374
8,1,128,0,207,211
10,4,103,0,34,152
11,4,102,1,233,299
9,6,88,0,227,192
8,3,148,0,188,247
14,2,215,0,299,468
15,1,159,1,165,329
14,6,253,0,282,535
12,6,42,1,23,231
8,2,172,0,109,286
14,6,296,0,79,493
14,3,80,1,35,278
16,4,71,0,246,203
10,5,172,0,48,238
16,2,256,1,170,422
8,4,51,0,264,146
8,4,74,0,289,202
11,0,55,0,98,74
16,2,129,0,172,265
13,6,196,1,296,550
10,5,116,0,298,258
8,2,232,1,76,382
11,6,156,0,205,257
16,4,25,1,112,116
10,5,128,0,295,237
16,6,54,1,177,254
14,3,58,0,294,319
11,6,169,1,200,351
10,0,137,1,96,301
17,4,280,0,170,414
12,6,106,1,257,422
12,1,95,0,250,285
10,1,233,0,37,258
16,0,258,0,92,370
11,3,184,0,208,264
12,4,106,0,36,239
11,2,160,1,38,280
12,0,179,0,238,401
14,3,65,0,139,240
16,2,131,0,120,192
14,1,64,0,53,206
12,1,266,0,103,463
17,2,123,0,215,276
17,0,104,1,221,265
14,1,153,1,30,376
17,4,127,0,237,256
12,5,37,1,272,328
10,6,113,0,241,205
14,2,169,0,99,368
9,2,265,0,26,335
16,1,228,0,291,365
17,0,145,0,246,281
17,4,254,1,35,433
8,0,141,1,31,261
13,3,157,1,260,472
14,3,134,1,40,388
15,5,181,0,197,277
17,1,220,1,247,477
16,1,253,0,292,440
9,1,47,1,153,179
17,5,30,1,172,171
9,3,225,1,85,374
12,0,186,1,156,429
12,5,266,0,111,469
13,5,66,1,278,353
10,0,265,1,122,453
15,1,146,0,74,179
8,4,166,0,276,328
13,0,137,1,120,407
11,3,171,0,217,278
8,2,91,0,245,214
14,2,156,0,256,391
16,6,194,1,45,360
11,6,38,0,140,81
11,5,214,1,201,414
13,2,194,1,218,487
10,4,160,1,274,382
13,1,265,1,141,565
14,3,112,0,50,241
17,6,258,1,125,432
17,4,224,0,243,385
10,3,67,1,292,304
14,3,264,0,251,527
10,1,147,1,275,364
9,5,36,0,43,56
17,2,90,1,128,250
11,1,288,1,210,514
15,4,26,0,44,16
16,5,122,1,206,320
14,4,212,1,135,471
8,5,260,1,56,386
10,6,81,0,156,126
16,4,36,1,246,217
8,1,190,1,201,368
16,5,44,0,105,48
15,5,270,0,72,346
8,3,272,0,254,418
13,3,226,0,286,483
12,0,48,0,119,193
13,4,136,1,106,422
17,3,163,1,34,300
12,0,44,1,120,271
13,6,175,0,184,382
12,6,92,1,48,338
12,3,139,0,133,339
11,4,112,0,126,157
10,5,105,1,149,246
10,2,137,0,103,190
11,4,252,0,290,410
16,1,218,1,263,435
9,6,225,0,233,364
16,3,166,0,185,288
8,3,290,1,298,565
8,5,158,0,78,214
12,1,200,0,109,351
13,5,49,1,213,303
13,1,76,1,142,318
10,2,251,1,155,418
14,6,165,1,158,464
16,3,67,0,248,156
17,3,213,0,293,385
15,2,243,1,69,366
13,0,155,0,137,354
15,6,41,0,221,135
12,5,25,1,210,324
15,2,223,1,200,405
17,5,258,0,97,337
11,4,204,1,94,355
17,3,239,1,40,380
15,5,135,1,190,311
17,1,68,0,34,89
9,5,192,1,230,396
12,4,101,0,67,207
16,6,64,0,105,139
11,3,39,0,168,171
13,2,240,1,207,557
8,4,142,1,170,296
16,3,253,1,160,427
8,5,240,1,88,415
12,6,22,1,279,326
11,0,201,0,28,247
10,6,225,0,140,341
13,0,59,0,120,178
9,1,78,1,168,256
10,6,81,0,165,168
12,3,151,0,262,366
16,0,79,1,260,250
9,2,141,1,62,276
17,3,126,0,114,225
15,2,115,0,245,231
9,6,254,1,25,378
12,2,81,1,233,374
14,0,275,1,225,636
15,3,68,1,86,205
8,5,178,0,119,272
13,4,143,0,31,308
8,0,226,1,256,463
9,0,67,0,277,176
8,5,155,0,154,213
12,3,220,1,241,522
17,3,269,0,175,371
16,6,228,0,161,351
13,2,230,0,177,463
8,6,211,1,281,449
8,5,63,1,248,229
9,6,48,0,299,213
16,5,78,1,187,240
10,3,90,1,66,226
8,2,111,1,222,303
12,6,284,0,233,538
14,0,239,0,265,504
13,1,234,1,43,464
8,4,296,0,293,499
12,0,83,0,63,193
12,3,264,0,175,466
13,4,81,0,218,310
10,1,189,0,181,311
12,1,288,1,253,678
14,2,286,0,182,517
12,4,73,0,135,276
12,2,35,0,112,150
12,0,27,1,61,209
17,5,123,1,229,337
17,5,78,1,225,229
10,5,59,0,239,162
8,4,256,1,299,530
12,5,113,1,155,388
16,0,241,1,125,419
8,2,223,1,137,393
10,4,157,0,256,295
11,2,226,1,119,410
8,4,100,1,280,299
8,2,237,0,122,341
15,1,21,0,82,80
9,2,197,1,194,390
15,5,298,0,245,457
14,1,165,1,26,398
17,2,243,0,146,361
17,4,81,0,111,159
9,4,258,1,209,453
13,4,214,0,72,375
13,3,185,1,261,497
10,0,241,0,151,332
9,4,80,1,131,192
8,1,148,0,26,123
13,4,192,0,249,454
12,3,175,0,175,349
16,5,129,0,216,273
8,1,288,0,242,457
14,3,297,1,269,636
12,5,93,0,102,265
12,6,226,1,259,563
9,6,298,1,282,528
10,1,223,1,208,431
14,2,180,0,77,327
13,0,47,1,28,261
9,0,276,0,134,370
13,3,184,1,229,490
9,5,82,1,60,200
9,0,41,1,192,208
9,5,89,1,253,321
10,5,115,1,97,252
9,3,182,0,127,294
11,3,98,1,58,230
16,3,24,1,138,192
13,0,139,0,46,278
8,6,197,0,123,300
15,3,195,0,93,270
14,0,236,1,210,487
17,3,75,1,166,215
10,4,206,1,274,448
8,5,251,1,232,484
12,3,274,1,142,540
11,1,123,1,225,322
17,5,96,0,259,229
15,5,249,0,41,315
8,3,277,1,278,538
17,6,283,1,124,481
8,2,201,1,277,431
11,6,275,1,223,489
15,3,57,1,281,282
12,5,195,0,126,394
9,1,46,0,270,136
13,5,295,1,240,634
12,6,159,0,241,364
9,1,110,1,277,304
10,0,80,1,220,251
16,4,182,1,277,410
14,5,162,0,244,399
14,3,272,0,221,507
13,0,288,1,245,616
15,4,206,0,255,339
11,3,105,0,202,228
15,2,185,1,219,333
11,3,133,0,265,259
15,1,202,0,130,325
16,1,226,1,25,372
10,2,275,1,255,537
10,0,254,0,146,323
9,4,22,1,123,131
17,3,227,0,256,385
10,1,216,1,174,440
10,0,144,1,276,340
12,2,157,1,254,462
12,6,44,1,59,264
9,5,87,0,216,162
17,6,80,1,292,303
13,6,48,1,283,297
12,1,38,1,76,266
13,2,190,0,117,355
8,3,93,0,156,165
12,6,80,1,106,331
16,6,172,1,261,400
17,4,295,1,218,521
9,1,67,1,103,221
8,1,230,1,261,426
17,3,158,1,271,382
16,5,129,0,209,223
17,0,202,1,171,409
16,4,47,1,297,269
16,1,216,1,158,417
13,4,210,1,195,543
15,1,70,1,27,197
8,4,168,1,254,380
17,2,287,0,182,417
11,6,69,0,68,122
8,1,265,0,57,344
15,4,132,0,155,235
8,0,189,0,238,277
10,2,185,0,53,281
11,2,33,1,98,160
15,0,222,1,255,416
13,4,208,1,292,528
17,3,174,1,180,318
14,0,74,1,194,325
15,4,201,1,240,414
9,0,229,0,28,316
17,0,94,1,132,254
15,1,296,0,224,449
10,4,152,0,205,242
14,3,78,1,216,344
10,6,201,1,285,420
14,1,83,1,281,378
9,0,279,1,267,515
17,6,212,1,134,382
13,5,162,1,140,424
10,6,123,1,160,278
10,0,233,0,84,316
16,0,261,1,295,505
14,4,228,1,258,525
12,4,112,0,29,247
17,1,161,1,252,372
14,3,131,1,214,391
16,1,78,0,31,94
8,2,62,1,196,245
14,0,226,1,196,507
13,6,287,1,236,594
17,5,137,1,30,250
16,0,39,1,137,194
8,0,241,1,183,479
11,1,185,0,58,258
16,5,150,1,72,310
11,5,175,1,237,392
17,5,203,0,225,320
10,1,109,0,75,174
16,0,113,1,137,269
9,1,32,0,272,155
11,4,249,1,287,475
13,4,45,1,199,323
9,1,94,0,254,212
15,5,169,1,215,373
15,0,167,1,99,318
8,1,27,0,154,88
10,1,48,0,41,84
17,1,228,0,244,363
16,2,147,0,77,175
12,4,135,1,112,349
13,6,163,0,211,384
11,5,254,0,122,345
17,3,26,0,26,10
9,6,64,0,147,138
15,5,258,0,74,337
13,3,174,1,250,479
12,2,200,0,81,377
16,1,234,1,259,491
8,2,107,0,109,198
12,2,275,0,251,533
13,6,92,0,252,310
12,0,198,0,171,409
13,6,231,0,164,449
13,4,253,0,149,458
14,3,258,0,160,477
11,1,242,0,112,304
15,6,138,1,133,300
14,3,283,0,162,514
16,5,226,1,242,438
14,3,114,0,251,335
10,5,241,1,52,368
10,6,295,0,295,447
15,4,250,0,189,380
12,6,138,0,159,315
11,5,287,1,220,477
15,3,292,1,42,425
13,3,83,1,243,357
9,5,30,1,289,247
11,2,117,0,172,213
11,4,90,0,104,132
13,0,77,0,128,232
13,1,270,1,50,550
8,3,295,0,248,472
15,1,69,1,259,244
13,0,235,1,160,549
10,6,71,1,175,234
16,1,290,1,118,491
9,0,103,1,66,227
15,5,145,0,86,232
17,2,91,1,81,198
10,3,255,1,128,432
12,0,75,0,186,289
13,1,129,1,56,309
17,3,211,1,138,387
13,2,112,0,105,269
11,5,75,0,71,132
10,6,79,0,110,160
11,3,157,1,223,372
8,6,58,0,257,177
11,0,47,0,174,127
8,2,68,0,259,178
8,1,144,1,155,319
17,2,32,0,83,101
13,2,55,1,142,286
12,4,120,1,273,425
11,2,105,0,133,178
10,2,23,1,39,143
8,3,242,1,35,389
13,1,185,0,164,407
9,3,297,1,227,548
15,3,149,0,38,206
17,0,50,1,185,193
12,3,30,1,57,272
14,4,115,0,200,346
17,4,209,0,124,302
9,6,211,1,119,353
15,0,285,1,109,434
9,6,147,0,98,221
11,6,257,1,92,411
8,5,131,1,195,281
12,1,164,1,115,391
16,1,84,1,122,220
8,3,266,0,243,420
16,3,242,0,25,329
15,5,125,0,141,216
13,3,200,0,255,434
14,1,203,0,135,405
10,6,245,0,182,373
8,2,284,1,245,534
12,4,297,0,249,555
9,2,108,1,201,311
12,2,195,1,268,538
15,1,37,1,229,218
16,2,125,0,163,213
9,5,290,1,115,492
10,0,186,0,263,314
10,3,32,1,105,130
8,0,51,1,203,192
15,6,59,0,140,111
13,4,167,1,111,438
15,3,237,1,89,392
16,2,238,1,152,430
12,4,101,1,298,410
10,3,227,0,156,325
12,5,220,1,206,506
12,5,57,1,240,343
12,5,230,0,65,398
10,5,268,1,297,529
17,2,246,1,211,465
11,0,67,1,27,167
16,3,37,1,295,212
17,2,215,0,198,359
16,5,206,1,58,349
9,6,243,0,197,372
15,0,248,1,181,482
15,6,96,1,123,263
14,4,207,1,180,509
15,6,289,0,142,404
10,4,114,1,73,246
13,4,151,1,53,387
8,5,58,0,261,182
14,4,91,0,132,296
8,1,179,0,42,281
16,3,206,0,65,279
8,3,210,1,154,351
8,5,139,1,137,283
14,1,239,1,208,586
9,6,72,1,150,241
12,2,241,0,231,490
15,6,150,1,132,309
15,2,256,1,63,389
10,4,265,1,147,490
14,0,245,1,177,528
10,2,227,0,292,404
13,0,115,1,64,318
13,3,219,1,127,489
10,0,266,1,238,514
14,3,91,0,196,283
10,1,204,0,247,336
15,1,25,1,210,194
17,5,225,1,179,395
11,5,51,1,286,225
8,4,118,0,209,239
11,2,275,1,194,479
14,4,206,1,164,507
11,3,95,1,251,317
13,4,196,0,223,448
16,0,274,1,232,469
8,3,209,1,59,340
12,5,146,0,294,404
14,1,273,0,101,479
8,5,232,1,200,483
11,2,269,0,102,345
13,3,103,1,281,439
9,3,32,0,291,162
17,0,64,0,219,132
12,2,146,1,259,448
17,1,133,1,199,324
8,6,295,1,190,476
13,3,224,0,196,406
13,3,292,1,256,598
11,0,77,1,157,240
15,4,238,1,148,415
11,1,128,1,68,248
15,5,298,1,183,499
15,2,193,0,296,322
12,3,283,1,135,564
11,3,130,1,43,217
9,5,206,0,44,289
10,1,288,1,146,518
10,4,248,1,253,432
11,3,175,1,228,372
11,1,208,1,112,366
17,5,291,1,113,471
12,0,21,0,244,243
11,4,265,0,299,428
17,2,229,0,30,285
15,3,32,1,31,190
13,1,115,0,54,257
13,0,240,1,247,602
15,2,257,1,239,494
14,6,113,1,160,369
17,1,288,0,42,348
17,1,190,0,102,269
15,2,113,0,248,212
9,0,168,1,99,304
16,6,131,0,178,220
8,5,74,1,147,233
15,0,135,0,209,282
11,4,162,0,50,205
11,3,220,1,34,367
12,2,199,1,94,424
15,5,221,0,53,308
12,6,72,0,215,238
15,2,199,0,48,274
17,2,156,1,213,351
8,0,201,1,35,333
17,3,20,0,96,56
16,4,63,0,100,90
13,1,246,1,143,507
10,1,117,0,38,172
15,2,227,1,121,401
16,3,284,1,96,453
13,6,290,1,248,636
14,6,159,1,222,462
8,5,256,1,80,403
12,0,91,1,45,356
12,3,174,0,90,360
17,3,209,1,122,382
11,0,287,1,176,485
13,6,126,0,213,355
14,6,251,1,294,583
16,6,61,0,205,138
8,2,209,1,132,417
13,3,158,0,184,364
14,1,122,0,80,263
10,0,190,1,111,353
15,6,292,1,172,516
12,5,240,1,244,578
16,6,232,1,146,436
12,6,75,0,212,250
16,4,121,0,134,218
17,2,211,0,281,362
11,0,219,1,37,359
16,4,252,0,29,338
12,4,246,1,111,534
17,5,158,1,158,340
16,3,168,0,71,190
10,5,134,1,214,325
11,3,82,0,225,173
16,3,123,1,112,287
17,0,175,0,164,295
13,6,292,1,105,566
9,0,25,0,172,85
14,2,166,0,21,339
9,3,203,1,279,423
9,4,47,1,183,186
8,6,57,0,25,62
10,1,138,1,168,302
13,2,263,1,224,568
15,0,87,1,137,256
16,5,233,0,108,279
14,2,237,0,173,436
11,2,196,1,186,389
13,6,183,1,180,476
12,2,77,0,289,342
15,2,288,1,75,487
8,1,77,0,247,159
8,5,124,1,168,258
13,5,247,1,65,503
17,5,266,1,163,451
9,3,207,0,257,327
12,4,102,0,291,339
8,5,205,0,139,306
14,2,271,0,239,504
8,2,257,1,27,387
11,5,203,1,294,426
16,6,229,0,85,301
8,5,116,1,98,269
11,2,227,1,105,373
13,3,156,0,143,332
13,0,203,1,221,504
15,0,95,1,169,261
8,5,161,0,65,225
14,1,256,1,132,581
8,5,44,1,110,188
14,6,86,1,160,359
10,5,269,0,237,412
15,0,137,0,96,183
10,2,92,1,171,248
8,5,29,1,258,204
15,2,230,1,134,417
10,2,171,0,113,217
9,1,24,0,67,67
8,2,214,0,210,338
10,0,132,1,31,265
9,3,290,1,175,484
9,3,182,1,191,357
13,4,124,1,196,399
8,6,200,1,76,342
9,5,63,0,222,181
13,6,194,1,204,510
10,0,181,1,140,391
11,2,159,1,245,359
8,3,151,0,221,203
15,6,106,1,235,293
14,0,195,0,62,363
14,3,202,0,42,373
10,2,148,0,174,253
17,6,265,0,205,390
17,3,108,0,268,271
10,5,85,1,256,264
9,5,177,1,153,348
8,4,168,0,41,196
14,4,135,0,107,305
14,3,233,0,172,480
9,0,272,1,144,461
14,5,162,1,98,411
15,0,269,0,70,317
8,0,44,1,235,221
16,3,296,1,195,536
14,0,89,0,272,311
10,5,132,0,265,258
15,2,131,1,246,358
14,4,110,1,125,356
15,2,37,1,212,235
13,0,168,0,55,298
16,2,246,0,223,398
12,5,233,0,286,527
10,5,170,1,287,419
10,0,211,1,189,371
8,3,59,0,58,81
15,2,261,1,158,452
9,3,157,0,71,237
10,3,199,1,160,356
15,1,219,0,165,308
15,0,222,1,203,395
11,4,80,1,171,228
11,5,211,0,220,316
12,5,24,0,147,220
13,0,256,0,272,503
12,6,200,0,285,468
14,6,56,0,207,250
9,6,75,1,249,270
14,4,256,0,290,511
17,5,216,0,278,386
14,0,92,0,217,300
8,5,78,0,75,126
14,3,259,0,222,488
12,2,21,1,290,313
10,2,207,0,128,311
10,5,49,0,135,117
11,1,286,0,111,390
9,4,127,1,157,280
9,6,109,1,76,280
8,4,224,0,69,287
12,4,239,0,90,422
11,3,113,1,101,252
17,4,122,1,124,315
9,2,242,1,107,407
10,3,205,0,21,247
14,0,203,0,103,387
14,4,181,1,62,408
11,4,266,0,173,391
12,0,50,1,113,333
12,4,71,1,152,332
13,0,95,1,84,333
16,3,297,0,276,452
9,2,59,1,232,278
12,0,120,1,167,430
